[08-Aug-2023 03:33:54 UTC] Cron reschedule event error for hook: woocommerce_tracker_send_event, Error code: could_not_set, Error message: The cron event list could not be saved., Data: {"schedule":"daily","args":[],"interval":86400}
[08-Aug-2023 03:43:01 UTC] PHP Warning:  Undefined array key "data" in /Users/gilbertoguevara/Local Sites/reelstock/app/public/wp-content/plugins/elementor/core/common/modules/ajax/module.php on line 175
[08-Aug-2023 03:43:19 UTC] PHP Warning:  Undefined array key "data" in /Users/gilbertoguevara/Local Sites/reelstock/app/public/wp-content/plugins/elementor/core/common/modules/ajax/module.php on line 175
[08-Aug-2023 03:43:36 UTC] PHP Warning:  Undefined array key "data" in /Users/gilbertoguevara/Local Sites/reelstock/app/public/wp-content/plugins/elementor/core/common/modules/ajax/module.php on line 175
[08-Aug-2023 03:50:04 UTC] PHP Warning:  Attempt to read property "title" on null in /Users/gilbertoguevara/Local Sites/reelstock/app/public/wp-includes/class-wp-customize-widgets.php on line 905
[08-Aug-2023 03:50:29 UTC] PHP Warning:  Attempt to read property "title" on null in /Users/gilbertoguevara/Local Sites/reelstock/app/public/wp-includes/class-wp-customize-widgets.php on line 905
[08-Aug-2023 03:51:30 UTC] PHP Warning:  Undefined array key "data" in /Users/gilbertoguevara/Local Sites/reelstock/app/public/wp-content/plugins/elementor/core/common/modules/ajax/module.php on line 175
[08-Aug-2023 03:57:02 UTC] PHP Warning:  Cannot modify header information - headers already sent in /Users/gilbertoguevara/Local Sites/reelstock/app/public/wp-content/plugins/jet-search/includes/ajax-handlers.php on line 223
[08-Aug-2023 03:57:02 UTC] PHP Warning:  session_id(): Session ID cannot be changed after headers have already been sent in /Users/gilbertoguevara/Local Sites/reelstock/app/public/wp-content/plugins/jet-search/includes/ajax-handlers.php on line 185
[08-Aug-2023 03:57:02 UTC] PHP Warning:  session_start(): Session cannot be started after headers have already been sent in /Users/gilbertoguevara/Local Sites/reelstock/app/public/wp-content/plugins/jet-search/includes/ajax-handlers.php on line 187
[08-Aug-2023 03:58:10 UTC] PHP Warning:  Cannot modify header information - headers already sent in /Users/gilbertoguevara/Local Sites/reelstock/app/public/wp-content/plugins/jet-search/includes/ajax-handlers.php on line 223
[08-Aug-2023 03:58:10 UTC] PHP Warning:  session_id(): Session ID cannot be changed after headers have already been sent in /Users/gilbertoguevara/Local Sites/reelstock/app/public/wp-content/plugins/jet-search/includes/ajax-handlers.php on line 185
[08-Aug-2023 03:58:10 UTC] PHP Warning:  session_start(): Session cannot be started after headers have already been sent in /Users/gilbertoguevara/Local Sites/reelstock/app/public/wp-content/plugins/jet-search/includes/ajax-handlers.php on line 187
[08-Aug-2023 03:59:11 UTC] PHP Warning:  Cannot modify header information - headers already sent in /Users/gilbertoguevara/Local Sites/reelstock/app/public/wp-content/plugins/jet-search/includes/ajax-handlers.php on line 223
[08-Aug-2023 03:59:11 UTC] PHP Warning:  session_id(): Session ID cannot be changed after headers have already been sent in /Users/gilbertoguevara/Local Sites/reelstock/app/public/wp-content/plugins/jet-search/includes/ajax-handlers.php on line 185
[08-Aug-2023 03:59:11 UTC] PHP Warning:  session_start(): Session cannot be started after headers have already been sent in /Users/gilbertoguevara/Local Sites/reelstock/app/public/wp-content/plugins/jet-search/includes/ajax-handlers.php on line 187
[08-Aug-2023 04:00:11 UTC] PHP Warning:  Cannot modify header information - headers already sent in /Users/gilbertoguevara/Local Sites/reelstock/app/public/wp-content/plugins/jet-search/includes/ajax-handlers.php on line 223
[08-Aug-2023 04:00:11 UTC] PHP Warning:  session_id(): Session ID cannot be changed after headers have already been sent in /Users/gilbertoguevara/Local Sites/reelstock/app/public/wp-content/plugins/jet-search/includes/ajax-handlers.php on line 185
[08-Aug-2023 04:00:11 UTC] PHP Warning:  session_start(): Session cannot be started after headers have already been sent in /Users/gilbertoguevara/Local Sites/reelstock/app/public/wp-content/plugins/jet-search/includes/ajax-handlers.php on line 187
[08-Aug-2023 04:00:27 UTC] PHP Warning:  Cannot modify header information - headers already sent in /Users/gilbertoguevara/Local Sites/reelstock/app/public/wp-content/plugins/jet-search/includes/ajax-handlers.php on line 223
[08-Aug-2023 04:00:27 UTC] PHP Warning:  session_id(): Session ID cannot be changed after headers have already been sent in /Users/gilbertoguevara/Local Sites/reelstock/app/public/wp-content/plugins/jet-search/includes/ajax-handlers.php on line 185
[08-Aug-2023 04:00:27 UTC] PHP Warning:  session_start(): Session cannot be started after headers have already been sent in /Users/gilbertoguevara/Local Sites/reelstock/app/public/wp-content/plugins/jet-search/includes/ajax-handlers.php on line 187
[08-Aug-2023 04:01:02 UTC] PHP Warning:  Cannot modify header information - headers already sent in /Users/gilbertoguevara/Local Sites/reelstock/app/public/wp-content/plugins/jet-search/includes/ajax-handlers.php on line 223
[08-Aug-2023 04:01:02 UTC] PHP Warning:  session_id(): Session ID cannot be changed after headers have already been sent in /Users/gilbertoguevara/Local Sites/reelstock/app/public/wp-content/plugins/jet-search/includes/ajax-handlers.php on line 185
